event_id,yyyymmdd,hhmm,wlon,wlat,wzc,cmt_depth_km,pdf_page
85,19630918,1658,28.95,40.7,15.0,-10.0,1
96,19640614,1215,38.55,38.15,11.0,-10.0,1
106,19641006,1431,28.23,40.3,14.0,-10.0,1
159,19660509,0042,26.48,34.42,16.0,-10.0,1
184,19670111,1120,45.66,34.07,10.0,-10.0,1
200,19670722,1656,30.75,40.67,12.0,-10.0,1
237,19680903,0819,32.42,41.82,4.0,-10.0,1
260,19690303,0059,27.5,40.06,5.0,-10.0,1
265,19690323,2108,28.5,39.1,8.0,-10.0,1
266,19690325,1321,28.5,39.25,10.0,-10.0,1
267,19690328,0148,28.47,38.48,3.0,-10.0,1
302,19700328,2102,29.51,39.16,8.0,-10.0,1
305,19700416,1042,29.93,38.96,8.0,-10.0,1
306,19700419,1329,29.79,38.97,10.0,-10.0,1
334,19710512,1257,29.6,37.49,12.0,-10.0,1
335,19710522,1644,40.57,38.86,9.0,-10.0,1
337,19710525,0543,29.72,39.02,7.0,-10.0,1
455,19750327,0515,26.09,40.42,15.0,-10.0,1
474,19750906,0920,40.8,38.56,5.0,-10.0,1
478,19750922,0044,26.26,35.26,64.0,-10.0,1
648,19800502,0531,29.39,36.35,22.0,15.0,1
710,19811219,1410,25.26,39.19,10.0,10.0,1
751,19830319,2141,25.29,35.05,67.0,65.0,1
774,19831010,1017,26.8,40.23,11.0,15.0,1
781,19831030,0412,42.18,40.35,9.0,11.0,1
797,19840506,0912,25.64,38.77,9.0,10.0,1
842,19850927,1639,26.58,34.27,38.0,43.0,1
856,19860325,0141,25.1,38.4,6.0,15.0,1
857,19860329,1836,25.17,38.37,14.0,-10.0,1
860,19860505,0335,37.77,38.03,4.0,15.0,1
861,19860513,0844,43.72,41.44,13.0,15.0,1
862,19860606,1039,37.93,37.99,2.0,15.0,1
876,19861011,0900,28.53,37.91,9.0,15.0,1
914,19881207,0741,44.16,40.96,5.0,15.0,1
921,19890427,2306,28.2,37.1,7.0,15.0,1
922,19890428,1330,28.01,37.06,22.0,15.0,1
971,19900709,1122,26.6,34.9,9.0,33.0,1
973,19900718,1129,29.51,37.04,14.0,15.0,1
986,19901216,1545,43.72,41.37,11.0,17.6,1
990,19910319,1209,26.3,34.8,12.0,15.0,1
995,19910429,0912,43.67,42.42,6.0,22.0,1
996,19910429,1830,43.88,42.53,8.0,15.0,1
998,19910503,2019,43.25,42.97,8.0,15.0,1
1002,19910615,0059,44.02,42.44,7.0,15.0,1
1005,19910704,0626,44.14,42.38,8.0,19.0,1
1006,19910724,0945,44.03,36.59,11.0,15.0,1
1028,19920315,1616,39.97,39.57,4.0,15.0,1
1032,19920430,1144,26.6,35.1,7.0,32.0,2
1074,19921023,2319,45.1,42.67,16.0,15.0,2
1078,19921106,2006,26.97,38.02,6.0,-10.0,2
1127,19940128,1545,27.48,38.67,14.0,15.0,2
1148,19940524,0205,26.49,38.83,10.0,21.0,2
1204,19951001,1557,30.14,38.06,4.0,15.0,2
1237,19960402,0759,26.87,37.84,9.0,15.0,2
1250,19960720,0000,27.46,36.07,12.0,15.0,2
1258,19961009,1310,32.15,34.59,85.0,23.0,2
1259,19961010,0110,32.23,34.61,76.0,19.0,2
1268,19970113,1019,32.33,34.31,41.0,33.0,2
1270,19970122,1757,35.95,36.25,11.0,15.0,2
1315,19971114,2138,25.91,38.73,10.0,15.0,2
1320,19971127,1734,45.37,41.86,9.0,41.0,2
1420,19990811,0427,33.04,34.75,11.0,20.0,2
1421,19990817,0001,29.86,40.75,9.0,17.0,2
1426,19990913,1155,30.05,40.71,13.0,15.0,2
1432,19991112,1657,31.16,40.76,10.0,18.0,2
1437,19991203,1706,42.36,40.41,6.0,19.0,2
1455,20000606,0241,33.01,40.73,8.0,15.0,2
1471,20001115,1505,42.92,38.4,16.0,32.0,2
1490,20010625,1328,35.71,37.23,8.0,15.0,2
1545,20030127,0526,39.66,39.58,11.0,15.0,2
1555,20030501,0027,40.53,39.04,9.0,15.0,2
1566,20030713,0148,38.9,38.16,9.0,15.0,2
1947,20110519,2015,29.1,39.13,8.0,12.0,2
1962,20111023,1041,43.49,38.69,18.0,12.0,2
1963,20111023,2045,43.16,38.55,9.0,12.0,2
1964,20111025,1455,43.62,38.81,11.0,14.0,2
1967,20111109,1923,43.22,38.42,7.0,13.0,2
2048,20131122,0651,45.45,34.49,16.0,18.0,2
2050,20131122,1830,45.52,34.37,14.0,13.0,2
2051,20131124,1805,45.48,34.27,14.0,18.0,2
2087,20150416,1807,26.85,35.17,23.0,24.0,2
2147,20171112,1818,45.94,34.89,17.0,17.0,2
2157,20180111,0659,45.67,33.8,12.0,12.0,2
2257,19941113,0656,29.06,36.95,8.0,15.0,2
2258,19950529,0458,32.24,35.06,15.0,15.0,2
2259,19950223,2103,32.27,35.06,11.0,15.0,2
2260,20030503,1122,31.51,36.9,128.0,137.0,2
2261,20050123,2236,29.71,35.89,34.0,24.0,2
2262,20071029,0923,29.34,36.91,20.0,12.0,2
2263,20090619,1404,28.48,35.34,36.0,21.0,2
2264,20090701,0930,25.54,34.15,7.0,12.0,2
2265,20091222,0606,31.53,35.73,44.0,57.0,2
2266,20100424,1501,26.08,34.24,8.0,19.0,2
2267,20110401,1329,26.55,35.73,66.0,75.0,2
2268,20120610,1244,28.97,36.38,31.0,28.0,2
2269,20120709,1355,28.95,35.6,51.0,71.0,3
2271,20130615,1611,25.04,34.45,20.0,12.0,3
2272,20130616,2139,25.18,34.42,18.0,20.0,3
2273,20131228,1521,31.32,36.05,46.0,52.0,3
2274,20150609,2149,26.79,35.04,16.0,27.0,3
2275,19690612,1513,25.02,34.39,19.0,-10.0,3
2277,19790822,2013,27.41,35.91,68.0,94.0,3
2280,19960426,0701,27.96,36.34,70.0,127.0,3
2281,20010623,0653,28.1,35.65,43.0,58.0,3
2282,20020122,0454,26.64,35.62,93.0,90.0,3
2286,20080715,2352,27.75,35.67,48.0,41.0,3
2287,19771128,0259,27.8,36.0,66.0,85.0,3
