event_id,origin_time,longitude,latitude,waveform_depth_km,isc_ehb_depth_km,global_cmt_depth_km,magnitude,magnitude_type,rake
0,1917-04-29 11:55:00,114.62,56.17,16,,,6.6,Mw,-16.0
1,1915-10-03 06:54:00,-117.5,40.5,3,,,6.9,Mw,-61.0
2,1915-11-21 00:13:00,-115.0,32.0,9,,,6.6,Mw,175.0
3,1921-06-28 13:58:00,176.0,-39.3,12,,,6.7,Mw,170.0
4,1925-06-27 01:21:00,-111.33,45.08,9,,,6.6,Mw,-38.0
5,1928-01-06 19:31:00,36.2,0.2,7,,,6.6,Mw,-6.0
6,1928-01-06 19:31:00,36.2,0.2,8,,,6.8,Mw,-6.0
7,1928-11-01 04:12:00,-105.78,27.09,10,,,6.3,Mw,-50.0
8,1931-02-02 22:46:00,176.4,-39.63,18,,,7.4,Mw,130.0
9,1931-02-03 08:41:00,177.0,-39.3,17,,,5.8,Mw,174.0
10,1931-08-27 11:40:00,-104.2,30.4,10,,,6.3,Mw,-155.0
11,1932-09-15 13:54:00,177.6,-38.9,8,,,6.9,Mw,-180.0
12,1932-12-21 06:10:00,-118.0,38.8,14,,,6.8,Mw,-176.0
13,1932-12-21 06:10:00,-118.2,38.68,12,,,6.6,Mw,-179.0
14,1933-11-20 23:31:00,-70.01,73.07,10,,,7.3,Mw,6.0
15,1934-01-30 20:16:00,-118.9,41.7,14,,,6.1,Mw,-91.0
16,1934-03-05 11:46:00,176.29,-40.51,8,,,7.3,Mw,140.0
17,1934-03-12 15:05:00,-112.8,41.7,8,,,6.6,Mw,-11.0
18,1934-03-12 18:20:00,-112.8,41.7,8,,,5.9,Mw,-20.0
19,1934-03-15 10:46:00,177.23,-39.31,25,,,6.3,Mw,178.0
20,1934-12-30 13:52:00,-114.9,32.0,10,,,6.5,Mw,-180.0
21,1934-12-31 18:45:00,-115.0,31.89,12,,,7.0,Mw,-180.0
22,1935-04-19 15:23:00,15.31,31.55,21,,,6.9,Mw,2.0
23,1935-04-19 20:31:00,15.46,30.93,15,,,6.0,Mw,2.0
24,1935-04-20 05:10:00,15.66,30.93,19,,,6.4,Mw,4.0
25,1935-10-31 18:37:00,-112.0,46.62,14,,,6.0,Mw,160.0
26,1942-06-24 11:16:00,175.67,-40.91,12,,,7.0,Mw,178.0
27,1944-01-15 23:49:00,-68.5,-31.55,25,,,6.9,Mw,120.0
28,1945-11-27 21:57:00,63.48,25.15,27,,,8.1,Mw,89.0
29,1946-11-10 17:43:00,-77.86,-8.47,16,,,6.8,Mw,-90.0
30,1947-03-25 20:32:00,178.8,-38.85,12,,,7.0,Mw,90.0
31,1947-04-10 07:58:00,-116.5,34.99,6,,,6.6,Mw,10.0
32,1947-04-10 15:58:00,-116.6,35.0,5,,,6.3,Mw,10.0
33,1947-04-10 15:58:00,-116.7,34.9,5,,,6.3,Mw,6.0
34,1947-05-17 07:06:00,178.87,-38.42,18,,,7.0,Mw,110.0
35,1947-08-05 14:24:00,63.49,25.04,20,,,6.8,Mw,68.0
36,1947-08-27 13:37:00,179.6,-39.25,7,,,7.0,Mw,-11.0
37,1947-11-23 09:46:00,-110.5,44.92,8,,,6.1,Mw,-170.0
38,1950-04-04 18:44:00,101.0,51.7,14,,,6.9,Mw,0.0
39,1952-06-11 00:31:00,-67.5,-31.5,12,,,6.9,Mw,30.0
40,1954-07-06 11:13:00,-118.5,39.4,7,,,5.9,Mw,-115.0
41,1954-07-06 11:13:00,-118.5,39.4,10,,,6.1,Mw,-140.0
42,1954-07-06 22:07:00,-118.4,39.2,8,,,5.9,Mw,-135.0
43,1954-08-24 05:51:00,-118.5,39.6,12,,,6.5,Mw,-145.0
44,1954-11-12 12:26:00,-116.31,31.93,13,,,6.3,Mw,6.0
45,1954-12-16 11:07:00,-118.0,39.2,15,,,7.2,Mw,-160.0
46,1954-12-16 11:11:00,-117.9,39.67,12,,,6.7,Mw,-90.0
47,1956-01-30 08:43:00,177.42,-37.1,6,,,6.3,Mw,-180.0
48,1956-02-09 14:32:00,-115.93,31.82,12,,,6.7,Mw,-176.0
49,1956-02-14 18:33:00,-115.5,31.5,12,,,6.3,Mw,-178.0
50,1956-02-15 01:20:00,-115.54,31.53,9,,,6.2,Mw,-170.0
51,1956-07-21 15:32:00,70.0,23.0,15,,,6.0,Mw,85.0
52,1956-12-28 14:24:00,177.5,-38.3,5,,,6.2,Mw,-43.0
53,1957-06-27 00:09:00,116.39,56.39,10,,,7.1,Mw,-25.0
54,1958-01-05 11:30:00,121.11,56.51,8,,,5.8,Mw,-100.0
55,1958-09-14 14:21:00,121.0,56.61,6,,,6.2,Mw,-75.0
56,1959-05-12 09:46:00,-65.01,-23.18,14,,,5.0,Mw,83.0
57,1959-08-18 06:37:00,-111.0,44.83,15,,,7.3,Mw,-90.0
58,1959-08-18 06:37:00,-111.1,44.88,10,,,6.3,Mw,-90.0
59,1959-08-18 15:26:00,-110.7,44.85,10,,,6.3,Mw,-90.0
60,1959-08-19 04:04:00,-111.6,44.76,8,,,6.0,Mw,-161.0
61,1959-08-29 17:03:00,106.9,52.64,14,,,6.2,Mw,-50.0
62,1959-11-15 17:08:00,20.55,37.78,13,,,6.7,Mw,-90.0
63,1961-12-27 23:47:00,176.11,-41.51,16,,,6.4,Mw,132.0
64,1962-04-19 23:16:00,138.88,69.76,12,,,6.0,Mw,100.0
65,1962-05-15 05:23:00,128.3,-7.44,20,,,7.1,Mw,90.0
66,1962-05-21 12:02:00,95.73,37.13,11,,,6.6,Mw,74.0
67,1962-06-03 15:02:00,-45.06,22.4,1,,,5.8,Mw,-86.0
69,1962-08-06 01:35:00,-41.03,32.26,10,,,6.0,Mw,-45.0
70,1962-08-30 13:35:00,-111.6,41.92,12,,,5.9,Mw,-108.0
