location_id,longitude,latitude,vs30_m_s,vs30_status,direct_status,raster_row,raster_column,fallback_distance_m,source_raster,source_raster_md5
1,27.69836368910687,36.72096109074584,249.61154174804688,nearest_valid,nodata,4277,1215,785.099643179562,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
2,29.219352315419773,36.417191513385696,600.7100219726562,direct,valid,4267,1779,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
3,29.435717386047425,36.37179313674507,600.7100219726562,direct,valid,4266,1859,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
4,29.651846979451506,36.325896593947036,451.6506652832031,direct,valid,4265,1940,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
5,29.867739251599964,36.27950273785293,444.1215515136719,direct,valid,4264,2020,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
6,28.180481980929358,36.812778166161735,619.1500244140625,direct,valid,4193,1374,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
7,28.83383397052426,36.68220746960079,540.4151611328125,direct,valid,4190,1615,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
8,29.268243574844124,36.59264935767198,615.2437133789062,direct,valid,4187,1775,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
9,29.485095047916403,36.54711954207101,600.7100219726562,direct,valid,4186,1856,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
10,29.701708444928247,36.501090360535215,467.1158447265625,direct,valid,4185,1936,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
11,29.91808190571509,36.45456267568672,489.16888427734375,direct,valid,4184,2016,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
12,30.13421359609482,36.40753735580809,600.7100219726562,direct,valid,4183,2097,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
13,30.350101707955858,36.36001527472258,600.7100219726562,direct,valid,4181,2177,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
14,27.57032760776377,37.11519768140355,576.5399780273438,direct,valid,4117,1131,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
15,27.789523470531773,37.07357073840816,576.5399780273438,direct,valid,4116,1211,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
16,28.00849457438754,37.031436462820096,490.5873718261719,direct,valid,4114,1291,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
17,28.22723883579452,36.98879567715674,406.1094665527344,direct,valid,4113,1371,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
18,28.44575419669056,36.945649210603236,619.1500244140625,direct,valid,4112,1451,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
19,28.66403862461807,36.90199789889339,190.47036743164062,nearest_valid,nodata,4114,1531,729.1414547327621,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
20,28.88209011284875,36.8578425841903,619.1500244140625,direct,valid,4110,1611,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
21,29.099906680503015,36.81318411496639,537.5999755859375,direct,valid,4109,1691,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
22,29.317486372664064,36.76802334588332,377.94903564453125,direct,valid,4108,1772,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
23,29.534827260486637,36.722361137671335,600.7100219726562,direct,valid,4106,1852,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
24,29.7519274413005,36.67619835700851,600.7100219726562,direct,valid,4105,1932,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
25,29.968785038708628,36.62953587639955,600.6574096679688,direct,valid,4104,2012,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
26,30.185398202680236,36.58237457405441,600.7100219726562,direct,valid,4103,2093,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
27,30.401765109638546,36.53471533376674,600.7100219726562,direct,valid,4102,2173,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
28,27.395957680602272,37.33275060519027,541.405029296875,direct,valid,4038,1048,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
29,27.615891812868817,37.291509817212145,576.5399780273438,direct,valid,4037,1127,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
