event_id,origin_time,magnitude,magnitude_type,rake,source_latitude,source_longitude,depth_source,source_depth_km,source_within_30_km,receiver_count,receivers_within_200_km,minimum_repi_km,minimum_rhypo_km,median_pga_g,mean_pga_g,maximum_pga_g,median_structural_loss_ratio,mean_structural_loss_ratio,maximum_structural_loss_ratio,locations_with_nonzero_structural_loss
85,1963-09-18 16:58:00,5.9,Mw,-82.0,40.7,28.95,waveform,15.0,True,311,33,39.63678955481503,42.38012607594147,0.00044225450168684495,0.0013519045302903805,0.03298448744398232,0.0,0.0,0.0,0
96,1964-06-14 12:15:00,5.8,Mw,-28.0,38.15,38.55,waveform,11.0,True,311,46,26.098225437733337,28.32167669822448,0.0006165537398149658,0.001918382551556177,0.0611875260294875,0.0,6.430868167202573e-11,1e-08,2
96,1964-06-14 12:15:00,5.8,Mw,-28.0,38.15,38.55,isc_ehb,10.0,True,311,46,26.098225437733337,27.948477078344563,0.0006166160890672646,0.0019292180955934252,0.06249383548364078,0.0,6.430868167202573e-11,1e-08,2
106,1964-10-06 14:31:00,6.3,Mw,-90.0,40.3,28.23,waveform,14.0,True,311,38,11.969627762163931,18.41933735954596,0.0008320928717876098,0.0029167110823793032,0.1733718050179241,0.0,6.430868167202573e-11,1e-08,2
159,1966-05-09 00:42:00,5.5,Mw,110.0,34.42,26.48,waveform,16.0,True,311,0,278.5695526144728,279.0286645558616,0.0001028569060818455,0.00015062115746121118,0.0011946966913359929,0.0,0.0,0.0,0
159,1966-05-09 00:42:00,5.5,Mw,110.0,34.42,26.48,isc_ehb,14.0,True,311,0,278.5695526144728,278.9211279982704,0.00010286299688105191,0.0001506480818687029,0.0011955207563273033,0.0,0.0,0.0,0
184,1967-01-11 11:20:00,5.6,Mw,81.0,34.07,45.66,waveform,10.0,True,311,0,424.050896326172,424.16879031233526,9.29076366947525e-05,0.00012137109262861818,0.0004768788402571482,0.0,0.0,0.0,0
184,1967-01-11 11:20:00,5.6,Mw,81.0,34.07,45.66,isc_ehb,22.0,True,311,0,424.050896326172,424.6211990410157,9.288339141055489e-05,0.00012129801808595095,0.00047598029373864504,0.0,0.0,0.0,0
200,1967-07-22 16:56:00,7.2,Mw,-178.0,40.67,30.75,waveform,12.0,True,311,36,11.527446487574037,16.63977230985698,0.0054517915445875574,0.010292999621648882,0.3748431217412811,0.0,0.00026833092466837946,0.083450857571866,7
200,1967-07-22 16:56:00,7.2,Mw,-178.0,40.67,30.75,isc_ehb,24.0,True,311,34,11.527446487574037,26.624838450662626,0.005442881205786684,0.009636745049142617,0.23486640488418414,0.0,4.223938816428177e-06,0.001313584971909163,7
237,1968-09-03 08:19:00,6.3,Mw,80.0,41.82,32.42,waveform,4.0,True,311,21,41.20863849877782,41.402317410055126,0.0012940043808752693,0.002512686961578004,0.06422742227274611,0.0,3.2154340836012864e-11,1e-08,1
237,1968-09-03 08:19:00,6.3,Mw,80.0,41.82,32.42,isc_ehb,6.0,True,311,21,41.20863849877782,41.64314933963273,0.0012939487580945967,0.002509063920035548,0.06365907998354707,0.0,3.2154340836012864e-11,1e-08,1
260,1969-03-03 00:59:00,5.7,Mw,68.0,40.06,27.5,waveform,5.0,True,311,33,10.044163473555287,11.21985828268353,0.0002864696072790515,0.0018377051119525937,0.23170772847300675,0.0,3.550762263071568e-06,0.0011042870638152576,1
260,1969-03-03 00:59:00,5.7,Mw,68.0,40.06,27.5,isc_ehb,9.0,True,311,33,10.044163473555287,13.486482858162175,0.0002864458591764454,0.0016801803499853691,0.1847402955178054,0.0,6.054146473484202e-08,1.882839553253587e-05,1
265,1969-03-23 21:08:00,5.8,Mw,-92.0,39.1,28.5,waveform,8.0,True,311,45,27.007698829746246,28.167637389001527,0.00036873333807866044,0.0016687157972893826,0.06053313509101733,0.0,3.2154340836012864e-11,1e-08,1
265,1969-03-23 21:08:00,5.8,Mw,-92.0,39.1,28.5,isc_ehb,10.0,True,311,45,27.007698829746246,28.799579789960074,0.0003686956564502505,0.001652371774322663,0.0584551579738889,0.0,3.2154340836012864e-11,1e-08,1
266,1969-03-25 13:21:00,5.9,Mw,-96.0,39.25,28.5,waveform,10.0,True,311,44,14.033368141245642,17.231814222180095,0.00044354770189095267,0.0020398822875828137,0.12763029176474958,0.0,3.2154340836012864e-11,1e-08,1
266,1969-03-25 13:21:00,5.9,Mw,-96.0,39.25,28.5,isc_ehb,10.0,True,311,44,14.033368141245642,17.231814222180095,0.00044354770189095267,0.0020398822875828137,0.12763029176474958,0.0,3.2154340836012864e-11,1e-08,1
267,1969-03-28 01:48:00,6.7,Mw,-97.0,38.48,28.47,waveform,3.0,True,311,45,25.25864709495717,25.43618000147798,0.0018565096450891003,0.006036751562157887,0.17299855995504773,0.0,1.607717041800643e-10,1e-08,5
267,1969-03-28 01:48:00,6.7,Mw,-97.0,38.48,28.47,isc_ehb,1.0,True,311,45,25.25864709495717,25.278434545429988,0.0018565336689798666,0.006047747497284648,0.1741865421377944,0.0,1.607717041800643e-10,1e-08,5
2275,1969-06-12 15:13:00,6.0,Mw,44.0,34.39,25.02,waveform,19.0,True,311,0,354.770294386129,355.2787099993759,0.00021321209093392869,0.0002872670259833705,0.0016937355001623504,0.0,0.0,0.0,0
2275,1969-06-12 15:13:00,6.0,Mw,44.0,34.39,25.02,isc_ehb,20.0,True,311,0,354.770294386129,355.33359224652634,0.00021320609309331926,0.00028724626227263905,0.0016933009179722364,0.0,0.0,0.0,0
302,1970-03-28 21:02:00,7.2,Mw,-97.0,39.16,29.51,waveform,8.0,True,311,46,4.0466643285302375,8.965237988352516,0.004513268273458148,0.011207423561216642,0.6229286891074066,0.0,0.002324194733405865,0.722824482089224,9
302,1970-03-28 21:02:00,7.2,Mw,-97.0,39.16,29.51,isc_ehb,17.0,True,311,46,4.0466643285302375,17.474996199936612,0.0045099319206195875,0.010191032380566878,0.34460271987265695,0.0,0.00014090097737566262,0.04382012396383107,9
305,1970-04-16 10:42:00,5.5,Mw,-102.0,38.96,29.93,waveform,8.0,True,311,51,16.23775768874587,18.101513051632608,0.000304430923367274,0.001266328126865113,0.08882607982944137,0.0,3.2154340836012864e-11,1e-08,1
306,1970-04-19 13:29:00,5.8,Mw,-87.0,38.97,29.79,waveform,10.0,True,311,50,27.558512179380642,29.316745957576384,0.0005076566045959758,0.0017859548084940586,0.05810902991897024,0.0,6.430868167202573e-11,1e-08,2
306,1970-04-19 13:29:00,5.8,Mw,-87.0,38.97,29.79,isc_ehb,17.0,True,311,50,27.558512179380642,32.38011107981366,0.0005072469009405944,0.0017089299358269156,0.049641635645117116,0.0,0.0,0.0,0
334,1971-05-12 12:57:00,5.5,Mw,-89.0,37.49,29.6,waveform,12.0,True,311,42,24.47408417881126,27.25767408256874,0.0002293978377795688,0.0010688259945392966,0.04713379408616706,0.0,0.0,0.0,0
334,1971-05-12 12:57:00,5.5,Mw,-89.0,37.49,29.6,isc_ehb,25.0,True,311,41,24.47408417881126,34.985436918688606,0.00022907245647407632,0.0009445807830593201,0.031120935044587114,0.0,0.0,0.0,0
