event_id,depth_source,catalogue_label,source_depth_km,maximum_pga_g,maximum_structural_loss_ratio,maximum_structural_loss_percent
1002,waveform,gWFM,7.0,0.0060859462220838,0.0,0.0
1005,waveform,gWFM,8.0,0.0015020158720546,0.0,0.0
1006,waveform,gWFM,11.0,0.0042452195041145,0.0,0.0
1028,waveform,gWFM,4.0,0.1271745651251375,1e-08,1e-06
1032,waveform,gWFM,7.0,0.0027346426953186,0.0,0.0
1074,waveform,gWFM,16.0,0.003925982186071,0.0,0.0
1127,waveform,gWFM,14.0,0.067508349935714,1e-08,1e-06
1148,waveform,gWFM,10.0,0.0159892611302462,0.0,0.0
1204,waveform,gWFM,4.0,0.1375825495685025,1e-08,1e-06
1237,waveform,gWFM,9.0,0.0148144869561132,0.0,0.0
1250,waveform,gWFM,12.0,0.0214047622013843,0.0,0.0
1258,waveform,gWFM,85.0,0.0109761578627511,0.0,0.0
1259,waveform,gWFM,76.0,0.0021884173740733,0.0,0.0
1268,waveform,gWFM,41.0,0.0018509736346408,0.0,0.0
1270,waveform,gWFM,11.0,0.0498863885898671,0.0,0.0
1315,waveform,gWFM,10.0,0.0203479052043092,0.0,0.0
1320,waveform,gWFM,9.0,0.0014815923442401,0.0,0.0
1421,waveform,gWFM,9.0,0.2648125033109688,0.0044636164944213,0.44636164944213
1426,waveform,gWFM,13.0,0.0919807620974356,1e-08,1e-06
1432,waveform,gWFM,10.0,0.3219076988852535,0.0258888509234085,2.58888509234085
1437,waveform,gWFM,6.0,0.1138825514594869,1e-08,1e-06
1455,waveform,gWFM,8.0,0.2314192549330713,0.0010851724409196,0.10851724409196001
1471,waveform,gWFM,16.0,0.1088646025290617,1e-08,1e-06
1490,waveform,gWFM,8.0,0.0432906353467061,0.0,0.0
1545,waveform,gWFM,11.0,0.0806742034992201,1e-08,1e-06
1555,waveform,gWFM,9.0,0.4054763377368167,0.138512948245993,13.8512948245993
1566,waveform,gWFM,9.0,0.1890630604594701,6.557189376840408e-05,0.006557189376840408
1947,waveform,gWFM,8.0,0.121836823664129,1e-08,1e-06
1962,waveform,gWFM,18.0,0.2376576436809172,0.0014985359973068,0.14985359973068
1963,waveform,gWFM,9.0,0.0922299788061226,1e-08,1e-06
1964,waveform,gWFM,11.0,0.1344886970820275,1e-08,1e-06
1967,waveform,gWFM,7.0,0.0871844511528878,1e-08,1e-06
2048,waveform,gWFM,16.0,0.0004980411385939,0.0,0.0
2050,waveform,gWFM,14.0,0.0005566813208177,0.0,0.0
2051,waveform,gWFM,14.0,0.0004451102447852,0.0,0.0
2087,waveform,gWFM,23.0,0.0061131680082009,0.0,0.0
2257,waveform,gWFM,8.0,0.0906155985120212,1e-08,1e-06
2258,waveform,gWFM,15.0,0.002123838629962,0.0,0.0
2259,waveform,gWFM,11.0,0.0068066040803192,0.0,0.0
2260,waveform,gWFM,128.0,0.0031642916854191,0.0,0.0
2261,waveform,gWFM,34.0,0.0189158612597212,0.0,0.0
2262,waveform,gWFM,20.0,0.0408184950464289,0.0,0.0
2263,waveform,gWFM,36.0,0.0037278175473182,0.0,0.0
2264,waveform,gWFM,7.0,0.0045093268493429,0.0,0.0
2265,waveform,gWFM,44.0,0.0024593332992738,0.0,0.0
2266,waveform,gWFM,8.0,0.0008192340297082,0.0,0.0
2267,waveform,gWFM,66.0,0.0070262753675343,0.0,0.0
2268,waveform,gWFM,31.0,0.049304351826894,0.0,0.0
2269,waveform,gWFM,51.0,0.0059620350519263,0.0,0.0
2271,waveform,gWFM,20.0,0.0026923284070919,0.0,0.0
2272,waveform,gWFM,18.0,0.001795656312007,0.0,0.0
2273,waveform,gWFM,46.0,0.0106845627586267,0.0,0.0
2274,waveform,gWFM,16.0,0.0012225895139098,0.0,0.0
2277,waveform,gWFM,68.0,0.0034671743549372,0.0,0.0
2280,waveform,gWFM,70.0,0.0067604038341148,0.0,0.0
2281,waveform,gWFM,43.0,0.0048273742509228,0.0,0.0
2282,waveform,gWFM,93.0,0.0060442156289923,0.0,0.0
2286,waveform,gWFM,48.0,0.0123772921066398,0.0,0.0
2287,waveform,gWFM,66.0,0.0072433045059563,0.0,0.0
2289,waveform,gWFM,65.0,0.0073047028131364,0.0,0.0
2290,waveform,gWFM,43.0,0.0026294413974048,0.0,0.0
2291,waveform,gWFM,162.0,0.0014174988931849,0.0,0.0
2292,waveform,gWFM,94.0,0.0005983301425988,0.0,0.0
2294,waveform,gWFM,27.0,0.0009824033251842,0.0,0.0
2299,waveform,gWFM,43.0,0.0006990234114422,0.0,0.0
2303,waveform,gWFM,21.0,0.0121883128699644,0.0,0.0
2304,waveform,gWFM,16.0,0.0009619738646799,0.0,0.0
2307,waveform,gWFM,17.0,0.0005726447122622,0.0,0.0
648,waveform,gWFM,22.0,0.0770943173703315,1e-08,1e-06
710,waveform,gWFM,10.0,0.0260985504048073,0.0,0.0
751,waveform,gWFM,67.0,0.0011815010173995,0.0,0.0
774,waveform,gWFM,11.0,0.0871948238914558,1e-08,1e-06
781,waveform,gWFM,9.0,0.1557045108568614,1e-08,1e-06
797,waveform,gWFM,9.0,0.0082245258945251,0.0,0.0
842,waveform,gWFM,38.0,0.0016635909849271,0.0,0.0
856,waveform,gWFM,6.0,0.0052519710802855,0.0,0.0
860,waveform,gWFM,4.0,0.1612295838956103,1e-08,1e-06
861,waveform,gWFM,13.0,0.0168123764138753,0.0,0.0
862,waveform,gWFM,2.0,0.1087169453603433,1e-08,1e-06
876,waveform,gWFM,9.0,0.2196565862795449,0.0006118723908963,0.06118723908963
914,waveform,gWFM,5.0,0.0663452144132283,1e-08,1e-06
921,waveform,gWFM,7.0,0.0825599415015959,1e-08,1e-06
922,waveform,gWFM,22.0,0.0313588067799685,0.0,0.0
971,waveform,gWFM,9.0,0.0009631817354469,0.0,0.0
973,waveform,gWFM,14.0,0.0362772786443618,0.0,0.0
986,waveform,gWFM,11.0,0.0141593470192543,0.0,0.0
990,waveform,gWFM,12.0,0.0013399780963389,0.0,0.0
995,waveform,gWFM,6.0,0.0182850982595259,0.0,0.0
996,waveform,gWFM,8.0,0.0043408918444261,0.0,0.0
998,waveform,gWFM,8.0,0.0019176336796388,0.0,0.0
1002,isc_ehb,ISC-EHB,8.0,0.00608349533958,0.0,0.0
1005,isc_ehb,ISC-EHB,11.0,0.0014993544109489,0.0,0.0
1006,isc_ehb,ISC-EHB,46.0,0.0037212288039757,0.0,0.0
1028,isc_ehb,ISC-EHB,28.0,0.0552909853784026,1e-08,1e-06
1032,isc_ehb,ISC-EHB,20.0,0.0027154424606557,0.0,0.0
1074,isc_ehb,ISC-EHB,16.0,0.003925982186071,0.0,0.0
1127,isc_ehb,ISC-EHB,9.0,0.0855939000738745,1e-08,1e-06
1148,isc_ehb,ISC-EHB,10.0,0.0159892611302462,0.0,0.0
1204,isc_ehb,ISC-EHB,5.0,0.135885404792526,1e-08,1e-06
1237,isc_ehb,ISC-EHB,11.0,0.0145871344952429,0.0,0.0
1250,isc_ehb,ISC-EHB,26.0,0.0199992647493729,0.0,0.0
1258,isc_ehb,ISC-EHB,19.0,0.012726420586709,0.0,0.0
1259,isc_ehb,ISC-EHB,23.0,0.0025251104565244,0.0,0.0
1268,isc_ehb,ISC-EHB,19.0,0.0019032343272845,0.0,0.0
1270,isc_ehb,ISC-EHB,45.0,0.0188486554010018,0.0,0.0
1315,isc_ehb,ISC-EHB,2.0,0.0208165955058678,0.0,0.0
1320,isc_ehb,ISC-EHB,29.0,0.0014536105386126,0.0,0.0
1421,isc_ehb,ISC-EHB,17.0,0.226341096030253,0.0007761535182075,0.07761535182075001
1426,isc_ehb,ISC-EHB,10.0,0.102340829598558,1e-08,1e-06
1432,isc_ehb,ISC-EHB,10.0,0.3219076988852535,0.0258888509234085,2.58888509234085
1437,isc_ehb,ISC-EHB,13.0,0.0852013179842097,1e-08,1e-06
1455,isc_ehb,ISC-EHB,10.0,0.2088159127682869,0.000345447756681,0.0345447756681
1471,isc_ehb,ISC-EHB,48.0,0.0495192366661568,0.0,0.0
1490,isc_ehb,ISC-EHB,10.0,0.0412864005345343,0.0,0.0
1545,isc_ehb,ISC-EHB,10.0,0.082527820355182,1e-08,1e-06
1555,isc_ehb,ISC-EHB,10.0,0.36718149354613,0.0725438594436013,7.25438594436013
1566,isc_ehb,ISC-EHB,12.0,0.1420739997741688,1e-08,1e-06
1947,isc_ehb,ISC-EHB,12.0,0.1058843358331083,1e-08,1e-06
1962,isc_ehb,ISC-EHB,15.0,0.257674757768887,0.0032862429059633,0.32862429059633
1963,isc_ehb,ISC-EHB,10.0,0.0901394666946078,1e-08,1e-06
1964,isc_ehb,ISC-EHB,14.0,0.1113860643548933,1e-08,1e-06
1967,isc_ehb,ISC-EHB,13.0,0.0727017201286284,1e-08,1e-06
2048,isc_ehb,ISC-EHB,18.0,0.0004978241551074,0.0,0.0
2050,isc_ehb,ISC-EHB,13.0,0.0005567693554101,0.0,0.0
2051,isc_ehb,ISC-EHB,13.0,0.0004451782259171,0.0,0.0
2087,isc_ehb,ISC-EHB,22.0,0.0061193387673317,0.0,0.0
2257,isc_ehb,ISC-EHB,10.0,0.0820377068109018,1e-08,1e-06
2258,isc_ehb,ISC-EHB,28.0,0.0020526496368652,0.0,0.0
2259,isc_ehb,ISC-EHB,20.0,0.0066994560226544,0.0,0.0
2260,isc_ehb,ISC-EHB,133.0,0.0029604898292078,0.0,0.0
2261,isc_ehb,ISC-EHB,42.0,0.0163308638494259,0.0,0.0
2262,isc_ehb,ISC-EHB,36.0,0.0180446337811999,0.0,0.0
2263,isc_ehb,ISC-EHB,25.0,0.0038335939702523,0.0,0.0
2264,isc_ehb,ISC-EHB,14.0,0.0045051179825518,0.0,0.0
2265,isc_ehb,ISC-EHB,35.0,0.002565015785723,0.0,0.0
2266,isc_ehb,ISC-EHB,19.0,0.0008169778859533,0.0,0.0
2267,isc_ehb,ISC-EHB,76.0,0.0067425941083131,0.0,0.0
2268,isc_ehb,ISC-EHB,28.0,0.0530087863371826,1e-08,1e-06
2269,isc_ehb,ISC-EHB,71.0,0.0050496397165205,0.0,0.0
2271,isc_ehb,ISC-EHB,15.0,0.0026954375779001,0.0,0.0
2272,isc_ehb,ISC-EHB,20.0,0.0017946935864129,0.0,0.0
2273,isc_ehb,ISC-EHB,62.0,0.0094335001095308,0.0,0.0
2274,isc_ehb,ISC-EHB,16.0,0.0012225895139098,0.0,0.0
2277,isc_ehb,ISC-EHB,86.0,0.0029213040971172,0.0,0.0
2280,isc_ehb,ISC-EHB,72.0,0.0065298352223692,0.0,0.0
2281,isc_ehb,ISC-EHB,45.0,0.0047850111942085,0.0,0.0
2282,isc_ehb,ISC-EHB,94.0,0.0060163648698061,0.0,0.0
2286,isc_ehb,ISC-EHB,59.0,0.0117058823803893,0.0,0.0
2287,isc_ehb,ISC-EHB,84.0,0.0059746850291012,0.0,0.0
2289,isc_ehb,ISC-EHB,85.0,0.0051135726391186,0.0,0.0
2290,isc_ehb,ISC-EHB,51.0,0.002491050905133,0.0,0.0
2291,isc_ehb,ISC-EHB,162.0,0.0014174988931849,0.0,0.0
2292,isc_ehb,ISC-EHB,95.0,0.0005961009414315,0.0,0.0
2294,isc_ehb,ISC-EHB,48.0,0.0009613851172266,0.0,0.0
2299,isc_ehb,ISC-EHB,48.0,0.0006965481562994,0.0,0.0
2303,isc_ehb,ISC-EHB,16.0,0.013514544704822,0.0,0.0
2304,isc_ehb,ISC-EHB,9.0,0.0009670529650818,0.0,0.0
2307,isc_ehb,ISC-EHB,33.0,0.0005668262565433,0.0,0.0
648,isc_ehb,ISC-EHB,40.0,0.0306188579814332,0.0,0.0
710,isc_ehb,ISC-EHB,16.0,0.0259452561153827,0.0,0.0
751,isc_ehb,ISC-EHB,66.0,0.0011831133404981,0.0,0.0
774,isc_ehb,ISC-EHB,11.0,0.0871948238914558,1e-08,1e-06
781,isc_ehb,ISC-EHB,11.0,0.1501370612012378,1e-08,1e-06
797,isc_ehb,ISC-EHB,12.0,0.008152977034538,0.0,0.0
842,isc_ehb,ISC-EHB,41.0,0.0016596763421371,0.0,0.0
856,isc_ehb,ISC-EHB,4.0,0.0052594641929777,0.0,0.0
860,isc_ehb,ISC-EHB,4.0,0.1612295838956103,1e-08,1e-06
861,isc_ehb,ISC-EHB,7.0,0.0172544452892992,0.0,0.0
862,isc_ehb,ISC-EHB,10.0,0.093243922547412,1e-08,1e-06
876,isc_ehb,ISC-EHB,5.0,0.294993496125792,0.0123102508510425,1.2310250851042501
914,isc_ehb,ISC-EHB,5.0,0.0663452144132283,1e-08,1e-06
921,isc_ehb,ISC-EHB,11.0,0.0692824785509672,1e-08,1e-06
922,isc_ehb,ISC-EHB,17.0,0.0384023858387368,0.0,0.0
971,isc_ehb,ISC-EHB,29.0,0.0009499601916111,0.0,0.0
973,isc_ehb,ISC-EHB,9.0,0.041597146894036,0.0,0.0
986,isc_ehb,ISC-EHB,24.0,0.0125371936912745,0.0,0.0
990,isc_ehb,ISC-EHB,6.0,0.0013420787671902,0.0,0.0
995,isc_ehb,ISC-EHB,17.0,0.0181535921112445,0.0,0.0
996,isc_ehb,ISC-EHB,10.0,0.0043367208780516,0.0,0.0
998,isc_ehb,ISC-EHB,1.0,0.0019203305085522,0.0,0.0
1002,global_cmt,gCMT,15.0,0.0060573274888235,0.0,0.0
1005,global_cmt,gCMT,19.0,0.0014882551983976,0.0,0.0
1006,global_cmt,gCMT,15.0,0.0042140602703288,0.0,0.0
1028,global_cmt,gCMT,15.0,0.0925986224792817,1e-08,1e-06
1032,global_cmt,gCMT,32.0,0.0026820190407919,0.0,0.0
1074,global_cmt,gCMT,15.0,0.0039277029900144,0.0,0.0
1127,global_cmt,gCMT,15.0,0.0641487852332467,1e-08,1e-06
1148,global_cmt,gCMT,21.0,0.0146081710344468,0.0,0.0
1204,global_cmt,gCMT,15.0,0.1074299678250564,1e-08,1e-06
1237,global_cmt,gCMT,15.0,0.0140286712559629,0.0,0.0
1250,global_cmt,gCMT,15.0,0.0211766348402151,0.0,0.0
1258,global_cmt,gCMT,23.0,0.0126755943531382,0.0,0.0
1259,global_cmt,gCMT,19.0,0.0025377513354747,0.0,0.0
1268,global_cmt,gCMT,33.0,0.0018740261372452,0.0,0.0
1270,global_cmt,gCMT,15.0,0.0455005723819501,0.0,0.0
1315,global_cmt,gCMT,15.0,0.019770584466254,0.0,0.0
1320,global_cmt,gCMT,41.0,0.0014239447780591,0.0,0.0
1421,global_cmt,gCMT,17.0,0.226341096030253,0.0007761535182075,0.07761535182075001
1426,global_cmt,gCMT,15.0,0.0850982062394099,1e-08,1e-06
1432,global_cmt,gCMT,18.0,0.2399916020466644,0.001653187040953,0.1653187040953
1437,global_cmt,gCMT,19.0,0.0631344802860612,1e-08,1e-06
1455,global_cmt,gCMT,15.0,0.1580103255352214,1e-08,1e-06
1471,global_cmt,gCMT,32.0,0.0680816460503124,1e-08,1e-06
1490,global_cmt,gCMT,15.0,0.0356105657718271,0.0,0.0
1545,global_cmt,gCMT,15.0,0.0726920841725773,1e-08,1e-06
1555,global_cmt,gCMT,15.0,0.2331160197220786,0.0011976022294253,0.11976022294253
1566,global_cmt,gCMT,15.0,0.1085168113432621,1e-08,1e-06
1947,global_cmt,gCMT,12.0,0.1058843358331083,1e-08,1e-06
1962,global_cmt,gCMT,12.0,0.2775961182148136,0.0065722781809535,0.65722781809535
1963,global_cmt,gCMT,12.0,0.0856719618943178,1e-08,1e-06
1964,global_cmt,gCMT,14.0,0.1113860643548933,1e-08,1e-06
1967,global_cmt,gCMT,13.0,0.0727017201286284,1e-08,1e-06
2048,global_cmt,gCMT,18.0,0.0004978241551074,0.0,0.0
2050,global_cmt,gCMT,13.0,0.0005567693554101,0.0,0.0
2051,global_cmt,gCMT,18.0,0.0004447882622729,0.0,0.0
2087,global_cmt,gCMT,24.0,0.0061067377269458,0.0,0.0
2257,global_cmt,gCMT,15.0,0.0620437099688602,1e-08,1e-06
2258,global_cmt,gCMT,15.0,0.002123838629962,0.0,0.0
2259,global_cmt,gCMT,15.0,0.0067662291755633,0.0,0.0
2260,global_cmt,gCMT,137.0,0.0028115019111603,0.0,0.0
2261,global_cmt,gCMT,24.0,0.022373411835068,0.0,0.0
2262,global_cmt,gCMT,12.0,0.0660484138062917,1e-08,1e-06
2263,global_cmt,gCMT,21.0,0.003863745789723,0.0,0.0
2264,global_cmt,gCMT,12.0,0.0045066058001968,0.0,0.0
2265,global_cmt,gCMT,57.0,0.0022860859617301,0.0,0.0
2266,global_cmt,gCMT,19.0,0.0008169778859533,0.0,0.0
2267,global_cmt,gCMT,75.0,0.0067715491531848,0.0,0.0
2268,global_cmt,gCMT,28.0,0.0530087863371826,1e-08,1e-06
2269,global_cmt,gCMT,71.0,0.0050496397165205,0.0,0.0
2271,global_cmt,gCMT,12.0,0.0026968794017009,0.0,0.0
2272,global_cmt,gCMT,20.0,0.0017946935864129,0.0,0.0
