comparison_source,metric,epicentral_distance_km,kernel_bandwidth_km,pairs_within_200_km,effective_pair_count,systematic_mean_signed_change,empirical_standard_deviation,weighted_negative_percent,weighted_unchanged_percent,weighted_positive_percent
global_cmt,pga_percent,0.0,15.0,1480,36.0508626797543,-12.81147755604774,28.13267556071075,84.70559151050891,2.886402720672077e-14,15.294408489491069
global_cmt,pga_percent,1.0,15.0,1480,37.68506901057705,-12.611384848374763,27.741828446317452,84.72446848368983,4.5755715032521694e-14,15.275531516310103
global_cmt,pga_percent,2.0,15.0,1480,39.380065377647895,-12.412396313871074,27.341938637562805,84.74367526410185,7.239539611880793e-14,15.256324735898087
global_cmt,pga_percent,3.0,15.0,1480,41.13844900288988,-12.214214656641847,26.93331283226464,84.76299026443269,1.143218209132991e-13,15.237009735567197
global_cmt,pga_percent,4.0,15.0,1480,42.96326475541675,-12.016546116137233,26.51627080789304,84.7822156911648,1.8016646665964607e-13,15.217784308835034
global_cmt,pga_percent,5.0,15.0,1480,44.85806025048915,-11.819103693381258,26.091146788191956,84.80117997729096,2.8334665914013335e-13,15.198820022708748
global_cmt,pga_percent,6.0,15.0,1480,46.82693714987949,-11.621610521481056,25.658291142866894,84.81973990064454,4.446648027073544e-13,15.180260099355012
global_cmt,pga_percent,7.0,15.0,1480,48.8745961039356,-11.42380336709028,25.21807243005533,84.8377823194949,6.962860103541918e-13,15.162217680504408
global_cmt,pga_percent,8.0,15.0,1480,51.00637223394776,-11.225436244017198,24.770879780071958,84.85522545435684,1.0878050578671585e-12,15.144774545642091
global_cmt,pga_percent,9.0,15.0,1480,53.22825742106548,-11.026284112891359,24.317125604538198,84.8720196438213,1.6954683897368573e-12,15.127980356176995
global_cmt,pga_percent,10.0,15.0,1480,55.5469049479961,-10.826146631579489,23.85724859723299,84.88814750329122,2.6361419421052707e-12,15.111852496706142
global_cmt,pga_percent,11.0,15.0,1480,57.969611248722245,-10.624851909840986,23.39171697176366,84.90362341954834,4.088388686563267e-12,15.096376580447588
global_cmt,pga_percent,12.0,15.0,1480,60.5042686965406,-10.422260208680017,22.92103185660069,84.91849232190215,6.324152493832921e-12,15.081507678091533
global_cmt,pga_percent,13.0,15.0,1480,63.159282567796424,-10.21826751035727,22.445730740600897,84.93282768309372,9.756195687813584e-12,15.067172316896526
global_cmt,pga_percent,14.0,15.0,1480,65.94344466289783,-10.012808869722337,21.966390832698554,84.94672872088043,1.5008830508810584e-11,15.053271279104552
global_cmt,pga_percent,15.0,15.0,1480,68.8657557030279,-9.80586144238456,21.483632169269452,84.96031679484629,2.3022934099912686e-11,15.03968320513068
global_cmt,pga_percent,16.0,15.0,1480,71.93518876644822,-9.59744707155283,20.998120273577257,84.9737310226604,3.5211181178380953e-11,15.026268977304388
global_cmt,pga_percent,17.0,15.0,1480,75.1603869644523,-9.387634304740846,20.51056814602857,84.98712317545208,5.3686476062364286e-11,15.012876824494228
global_cmt,pga_percent,18.0,15.0,1480,78.5492906269892,-9.176539705779996,20.021737344513856,85.00065195225149,8.159655317309464e-11,14.999348047666919
global_cmt,pga_percent,19.0,15.0,1480,82.10869285220464,-8.964328328623575,19.532437904083086,85.01447677687423,1.2361178807370895e-10,14.985523223002167
global_cmt,pga_percent,20.0,15.0,1480,85.84372773797848,-8.751213229075347,19.043526847948073,85.02875130470834,1.866329783082856e-10,14.971248695105029
global_cmt,pga_percent,21.0,15.0,1480,89.75730321630074,-8.537453910286686,18.555905060524637,85.04361686831814,2.8081332419668444e-10,14.956383131401038
global_cmt,pga_percent,22.0,15.0,1480,93.84950017203052,-8.32335362845477,18.07051233059638,85.0591961257248,4.2102690435413863e-10,14.940803873854149
global_cmt,pga_percent,23.0,15.0,1480,98.1169710541466,-8.109255526514264,17.58832043037378,85.07558719945487,6.289684046620531e-10,14.924412799916146
global_cmt,pga_percent,24.0,15.0,1480,102.55238349700439,-7.895537614497154,17.110324174440905,85.09285860388063,9.361408000429181e-10,14.907141395183263
global_cmt,pga_percent,25.0,15.0,1480,107.14396585414218,-7.682606673123787,16.637530499636075,85.1110452495792,1.3880858524476506e-09,14.888954749032703
global_cmt,pga_percent,26.0,15.0,1480,111.8752195737917,-7.470891218342976,16.17094571891582,85.1301457842027,2.0503456073699794e-09,14.869854213746951
global_cmt,pga_percent,27.0,15.0,1480,116.7248650780304,-7.260833724223793,15.71156122304126,85.15012147920955,3.0168233260413883e-09,14.849878517773634
