comparison_source,depth_direction,distance_bin_km,pair_count,event_count,median_depth_difference_km,median_signed_pga_change_percent,median_absolute_pga_change_percent,mean_signed_loss_ratio_difference,mean_absolute_loss_ratio_difference,p95_absolute_loss_ratio_difference,loss_changed_percent,practical_loss_change_percent
global_cmt,deeper,0-25,24,24,6.5,-23.681534439533678,23.681534439533678,-0.006958377483367555,0.006958377483367555,0.021153433746519203,25.0,25.0
global_cmt,deeper,25-50,57,29,7.0,-6.560299794988407,6.560299794988407,-7.017543859649123e-10,7.017543859649123e-10,1e-08,7.017543859649122,0.0
global_cmt,deeper,50-100,257,41,6.600000000000001,-2.0571516205584603,2.0571516205584603,0.0,0.0,0.0,0.0,0.0
global_cmt,deeper,100-200,928,54,7.0,-0.5607252601978614,0.5607252601978614,0.0,0.0,0.0,0.0,0.0
global_cmt,deeper,>200,19882,68,7.0,-0.03755166256075135,0.03755166256075135,0.0,0.0,0.0,0.0,0.0
global_cmt,same,0-25,0,0,,,,,,,,
global_cmt,same,25-50,0,0,,,,,,,,
global_cmt,same,50-100,0,0,,,,,,,,
global_cmt,same,100-200,13,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
global_cmt,same,>200,609,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
global_cmt,shallower,0-25,4,4,-7.0,47.074125170320244,47.074125170320244,0.001268438045911675,0.001268438045911675,0.004312682356099693,50.0,25.0
global_cmt,shallower,25-50,10,7,-7.0,12.05614145135307,12.05614145135307,2.06424245614e-05,2.06424245614e-05,0.00011353233508769979,20.0,10.0
global_cmt,shallower,50-100,38,8,-6.5,3.507040742530866,3.507040742530866,2.6315789473684214e-10,2.6315789473684214e-10,0.0,2.631578947368421,0.0
global_cmt,shallower,100-200,149,15,-7.0,1.350620686359082,1.350620686359082,0.0,0.0,0.0,0.0,0.0
global_cmt,shallower,>200,6019,20,-7.0,0.06375254458194654,0.06375254458194654,0.0,0.0,0.0,0.0,0.0
isc_ehb,deeper,0-25,18,18,4.0,-15.30500041693791,15.30500041693791,-0.003914547686478472,0.003914547686478472,0.013029706850140398,33.33333333333333,22.22222222222222
isc_ehb,deeper,25-50,48,25,5.0,-4.748546780000357,4.748546780000357,-6.250000000000001e-10,6.250000000000001e-10,6.499999999999985e-09,6.25,0.0
isc_ehb,deeper,50-100,196,32,4.0,-1.2238620783240703,1.2238620783240703,0.0,0.0,0.0,0.0,0.0
isc_ehb,deeper,100-200,727,46,5.0,-0.41750687102510536,0.41750687102510536,0.0,0.0,0.0,0.0,0.0
isc_ehb,deeper,>200,16738,57,7.0,-0.04340554711193629,0.04340554711193629,0.0,0.0,0.0,0.0,0.0
isc_ehb,same,0-25,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isc_ehb,same,25-50,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isc_ehb,same,50-100,31,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isc_ehb,same,100-200,113,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isc_ehb,same,>200,2337,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isc_ehb,shallower,0-25,7,7,-4.0,14.888162947032876,14.888162947032876,0.0019265836241146718,0.0019265836241146718,0.008725176994699284,28.57142857142857,28.57142857142857
isc_ehb,shallower,25-50,15,9,-4.0,6.178659821033406,6.178659821033406,6.203099211968315e-06,6.203099211968315e-06,2.791794645385732e-05,13.333333333333334,6.666666666666667
isc_ehb,shallower,50-100,68,11,-4.0,1.618023621503698,1.618023621503698,1.4705882352941178e-10,1.4705882352941178e-10,0.0,1.4705882352941175,0.0
isc_ehb,shallower,100-200,250,19,-5.0,0.38261148410583856,0.38261148410583856,0.0,0.0,0.0,0.0,0.0
isc_ehb,shallower,>200,7435,25,-5.0,0.018444677722115492,0.018444677722115492,0.0,0.0,0.0,0.0,0.0
