location_id,longitude,latitude,vs30_model_9arcsec_m_s,vs30_model_9arcsec_status,vs30_model_9arcsec_fallback_distance_m,vs30_model_source_raster,vs30_model_source_raster_md5,vs30_3arcsec_m_s,vs30_3arcsec_status,vs30_3arcsec_direct_status,vs30_3arcsec_raster_row,vs30_3arcsec_raster_column,vs30_3arcsec_fallback_distance_m,vs30_3arcsec_source_raster,vs30_3arcsec_source_raster_md5,vs30_3arcsec_minus_model_m_s,vs30_absolute_difference_m_s,vs30_percent_difference
1,27.69836368910688,36.72096108226829,249.61154174804688,nearest_valid,785.0992841011663,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,174.60174560546875,nearest_valid,nodata,12858,3502,658.0955001070834,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,-75.00979614257812,75.00979614257812,-30.050612090001664
2,29.327564169136853,36.39455464027055,512.3291015625,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,514.04833984375,direct,valid,12822,5552,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,1.71923828125,1.71923828125,0.3355730283535859
3,29.867739251599968,36.27950272914779,444.1215515136719,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,446.307373046875,direct,valid,12811,6235,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,2.185821533203125,2.185821533203125,0.49216740906927964
4,27.812520356913147,37.16167480728152,416.2839050292969,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,417.40411376953125,direct,valid,12172,3478,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,1.120208740234375,1.120208740234375,0.26909729794995024
5,28.36015699826684,37.05523302606474,419.6947937011719,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,404.9154357910156,direct,valid,12163,4158,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,-14.77935791015625,14.77935791015625,-3.521453716359261
6,28.90634871473881,36.94562940880127,537.6055297851562,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,537.5999755859375,direct,valid,12154,4839,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,-0.00555419921875,0.00555419921875,-0.0010331365492035824
7,29.45106411136452,36.8328772139447,600.7100219726562,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,600.7100219726562,direct,valid,12144,5520,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,0.0,0.0,0.0
8,29.994272814771403,36.71698994271946,421.3836364746094,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,427.47869873046875,direct,valid,12133,6202,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,6.095062255859375,6.095062255859375,1.4464401861572134
9,30.535945483414405,36.59798132724053,361.19775390625,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,350.50775146484375,direct,valid,12122,6885,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,-10.69000244140625,10.69000244140625,-2.9595982604534337
10,32.68672555867665,36.0910154761869,576.5399780273438,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,576.5399780273438,direct,valid,12075,9624,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,0.0,0.0,0.0
11,27.37647198696236,37.70594421844185,365.6109924316406,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,300.5386657714844,direct,valid,11504,2772,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,-65.07232666015625,65.07232666015625,-17.798241302146575
12,27.9287659737952,37.60190569498504,460.6383056640625,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,387.9013366699219,direct,valid,11496,3450,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,-72.73696899414062,72.73696899414062,-15.790473371354128
13,28.479607457505445,37.49467199987921,576.5399780273438,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,576.5399780273438,direct,valid,11487,4129,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,0.0,0.0,0.0
14,29.028963277033085,37.384256519078185,420.2082214355469,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,427.2144775390625,direct,valid,11477,4809,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,7.006256103515625,7.006256103515625,1.6673296109201117
15,29.5768013203776,37.27067289867793,413.7246398925781,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,405.0047912597656,direct,valid,11467,5489,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,-8.7198486328125,8.7198486328125,-2.107645470445408
16,30.12309053619455,37.15393503266164,520.7107543945312,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,516.536865234375,direct,valid,11457,6171,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,-4.17388916015625,4.17388916015625,-0.8015753707659713
17,30.66780094401345,37.03405705056574,319.2999572753906,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,319.27349853515625,direct,valid,11446,6852,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,-0.026458740234375,0.026458740234375,-0.00828648411360569
18,31.21090364309496,36.91105330508504,346.513671875,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,321.46197509765625,direct,valid,11435,7535,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,-25.05169677734375,25.05169677734375,-7.229641659386185
19,31.75237081994863,36.78493835963457,433.9440307617188,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,429.752197265625,direct,valid,11424,8218,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,-4.191833496093807,4.191833496093807,-0.9659848272911414
20,32.292175754535066,36.65572697588564,576.5399780273438,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,576.5399780273438,direct,valid,11412,8903,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,0.0,0.0,0.0
21,32.830292825178866,36.52343410129269,459.2327575683594,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,460.7351379394531,direct,valid,11399,9587,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,1.50238037109375,1.50238037109375,0.3271500881271764
22,33.36669751222091,36.38807485662762,445.5190734863281,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,464.6625061035156,direct,valid,11387,10273,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,19.1434326171875,19.1434326171875,4.29688283991616
23,26.37603488009032,38.34642733343527,289.8257141113281,nearest_valid,1462.8408471895862,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,159.09075927734375,nearest_valid,nodata,10856,1405,1222.7447797346306,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,-130.73495483398438,130.73495483398438,-45.108128253853394
24,26.93450807089659,38.24807464160599,600.7100219726562,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,600.7100219726562,direct,valid,10838,2069,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,0.0,0.0,0.0
25,27.491558562072004,38.14647942535193,264.477294921875,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,269.3341369628906,direct,valid,10829,2746,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,4.856842041015625,4.856842041015625,1.8363928149107496
26,28.04715028256068,38.041654895825566,576.5399780273438,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,576.5399780273438,direct,valid,10821,3423,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,0.0,0.0,0.0
27,28.601248223537706,37.93361455511884,435.82220458984375,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,445.3048400878906,direct,valid,10811,4101,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,9.482635498046875,9.482635498046875,2.1758036644716325
28,29.15381845299078,37.82237218374227,398.863037109375,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,385.0972595214844,direct,valid,10802,4780,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,-13.765777587890625,13.765777587890625,-3.451254267042001
29,29.70482812881885,37.70794182798869,600.7100219726562,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,600.7100219726562,direct,valid,10792,5460,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,0.0,0.0,0.0
